name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
Alabama A & M University,Normal,AL,10024,18634,14559,Somewhat selective,66.22,,,5726
University of Alabama at Birmingham,Birmingham,AL,8832,21864,17727,Less selective,88.42,,,12118
Amridge University,Montgomery,AL,,,,Unknown,,,,226
University of Alabama in Huntsville,Huntsville,AL,11770,24662,19880,Somewhat selective,74.25,,,6650
Alabama State University,Montgomery,AL,11248,19576,13889,Less selective,95.64,,,3322
The University of Alabama,Tuscaloosa,AL,11900,33200,22150,Less selective,75.82,,,32323
Central Alabama Community College,Alexander City,AL,5040,8850,14346,Unknown,,,,1134
Athens State University,Athens,AL,,,,Unknown,,,,2407
Auburn University at Montgomery,Montgomery,AL,9436,20092,14596,Less selective,92.63,,,2693
Auburn University,Auburn,AL,12536,33944,23897,Somewhat selective,50.47,,,25732
Birmingham-Southern College,Birmingham,AL,22750,22750,23351,Somewhat selective,51.94,,,713
Chattahoochee Valley Community College,Phenix City,AL,5040,8850,5814,Unknown,,,,1044
Enterprise State Community College,Enterprise,AL,5040,8850,8187,Unknown,,,,1476
Coastal Alabama Community College,Bay Minette,AL,4980,8790,9514,Unknown,,,,4714
Faulkner University,Montgomery,AL,23920,23920,21165,Somewhat selective,66.13,,,1555
Gadsden State Community College,Gadsden,AL,4032,7080,3568,Unknown,,,,3619
George C Wallace Community College-Dothan,Dothan,AL,4920,8730,2697,Unknown,,,,3053
George C Wallace State Community College-Hanceville,Hanceville,AL,4980,8790,14042,Unknown,,,,4413
George C Wallace State Community College-Selma,Selma,AL,4680,8490,970,Unknown,,,,828
Huntingdon College,Montgomery,AL,28650,28650,21401,Somewhat selective,70.83,,,865
J. F. Drake State Community and Technical College,Huntsville,AL,5130,8940,4644,Unknown,,,,719
J F Ingram State Technical College,Deatsville,AL,6084,6084,,Unknown,,,,826
Jacksonville State University,Jacksonville,AL,12426,22716,14850,Less selective,76.22,,,7030
Jefferson State Community College,Birmingham,AL,5040,8850,9024,Unknown,,,,5443
John C Calhoun State Community College,Tanner,AL,5060,8870,7336,Unknown,,,,6928
Lawson State Community College,Birmingham,AL,4980,8790,6564,Unknown,,,,2720
University of West Alabama,Livingston,AL,10990,20090,13832,Less selective,87.11,,,2666
Lurleen B Wallace Community College,Andalusia,AL,4980,8790,3041,Unknown,,,,1122
Marion Military Institute,Marion,AL,9538,15538,10137,Somewhat selective,59.17,,,308
Miles College,Fairfield,AL,12714,12714,14514,Unknown,,,,1151
University of Mobile,Mobile,AL,26120,26120,19603,Somewhat selective,72.51,,,1079
University of Montevallo,Montevallo,AL,13710,26730,17053,Somewhat selective,53.9,,,2087
Northwest Shoals Community College,Muscle Shoals,AL,5071,8881,4545,Unknown,,,,1924
University of North Alabama,Florence,AL,11990,22190,11024,Less selective,96.48,,,5468
Northeast Alabama Community College,Rainsville,AL,4980,8790,1612,Unknown,,,,1547
Oakwood University,Huntsville,AL,21838,21838,23384,Somewhat selective,50.51,,,1253
Reid State Technical College,Evergreen,AL,6100,10700,131,Unknown,,,,365
Bishop State Community College,Mobile,AL,5280,9090,4176,Unknown,,,,2100
Samford University,Birmingham,AL,38144,38144,30795,Less selective,82.23,,,3828
Shelton State Community College,Tuscaloosa,AL,5067,8877,10880,Unknown,,,,3191
Snead State Community College,Boaz,AL,5472,9536,6369,Unknown,,,,1494
University of South Alabama,Mobile,AL,9676,18652,15142,Somewhat selective,65.49,,,8540
Spring Hill College,Mobile,AL,23270,23270,19514,Somewhat selective,59.1,,,850
Stillman College,Tuscaloosa,AL,11392,11392,12272,Somewhat selective,74.22,,,761
Talladega College,Talladega,AL,15650,15650,13461,Less selective,99.25,,,782
H Councill Trenholm State Community College,Montgomery,AL,4890,8700,5568,Unknown,,,,1584
Troy University,Troy,AL,9792,19584,13869,Less selective,92.61,,,10089
Tuskegee University,Tuskegee,AL,23440,23440,32977,Selective,31.43,,,2367
United States Sports Academy,Daphne,AL,18900,18900,,Selective,35.29,,,136
Bevill State Community College,Jasper,AL,4678,8234,5249,Unknown,,,,2189
University of Alaska Anchorage,Anchorage,AK,7566,21693,13780,Somewhat selective,66.52,,,6916
University of Alaska Fairbanks,Fairbanks,AK,8640,22752,9634,Unknown,,,,4027
University of Alaska Southeast,Juneau,AK,6960,21096,7233,Somewhat selective,62.5,,,920
Alaska Pacific University,Anchorage,AK,20760,20760,18976,Less selective,86.21,,,400
Alaska Vocational Technical Center,Seward,AK,,,12071,Unknown,,,,452
Charter College,Anchorage,AK,18678,18678,25225,Unknown,,,,2277
Alaska Career College,Anchorage,AK,,,18091,Unknown,,,,255
Carrington College-Phoenix North,Phoenix,AZ,,,,Unknown,,,,1087
Brookline College-Phoenix,Phoenix,AZ,,,,Unknown,,,,714
Arizona State University Campus Immersion,Tempe,AZ,12051,32193,13670,Less selective,90.19,,,64398
Arizona Western College,Yuma,AZ,3020,9830,9582,Unknown,,,,6198
University of Arizona,Tucson,AZ,13626,41095,15960,Less selective,85.66,,,40769
Central Arizona College,Coolidge,AZ,2250,4500,4591,Unknown,,,,4892
Cochise County Community College District,Sierra Vista,AZ,2232,6000,7420,Unknown,,,,3007
Avalon Institute-Mesa,Mesa,AZ,,,16847,Unknown,,,,388
Eastern Arizona College,Thatcher,AZ,2352,9552,9765,Unknown,,,,3058
Glendale Community College,Glendale,AZ,2358,8958,12158,Unknown,,,,10180
Grand Canyon University,Phoenix,AZ,17450,17450,21931,Somewhat selective,60.36,,,68619
GateWay Community College,Phoenix,AZ,2358,8958,12871,Unknown,,,,3473
Mesa Community College,Mesa,AZ,2358,8958,13438,Unknown,,,,12049
Mohave Community College,Kingman,AZ,2136,7248,6806,Unknown,,,,2750
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,,,21925,Unknown,,,,567
Dine College,Tsaile,AZ,1410,1410,10218,Unknown,,,,1507
Northern Arizona University,Flagstaff,AZ,12652,28900,14922,Less selective,90.95,,,23041
Northland Pioneer College,Holbrook,AZ,2428,9851,9251,Unknown,,,,1024
Phoenix College,Phoenix,AZ,2358,8958,11728,Unknown,,,,6952
Pima Community College,Tucson,AZ,2370,7686,3123,Unknown,,,,13869
Pima Medical Institute-Tucson,Tucson,AZ,,,,Unknown,,,,2619
Pima Medical Institute-Albuquerque,Albuquerque,NM,,,20348,Unknown,,,,737
Prescott College,Prescott,AZ,35685,35685,20906,Less selective,98.57,,,253
Refrigeration School Inc,Phoenix,AZ,,,25300,Unknown,,,,1271
Rio Salado College,Tempe,AZ,2358,8958,8764,Unknown,,,,4879
Scottsdale Community College,Scottsdale,AZ,2358,8958,14380,Unknown,,,,4274
South Mountain Community College,Phoenix,AZ,2358,8958,11942,Unknown,,,,2612
Arizona Christian University,Glendale,AZ,34697,34697,32383,Somewhat selective,74.42,,,1127
Universal Technical Institute of Arizona Inc,Avondale,AZ,,,27139,Unknown,,,,1791
Yavapai College,Prescott,AZ,2838,9344,6355,Unknown,,,,3732
University of Arkansas at Little Rock,Little Rock,AR,8455,19210,16136,Somewhat selective,57.74,,,4740
University of Arkansas for Medical Sciences,Little Rock,AR,,,,Unknown,,,,1361
Arkansas Baptist College,Little Rock,AR,8760,8760,11139,Unknown,,,,373
Arkansas Beauty School-Little Rock,Little Rock,AR,,,24060,Unknown,,,,111
Lyon College,Batesville,AR,31000,31000,22670,Somewhat selective,65.54,,,563
Arkansas Technical School,North Little Rock,AR,,,35353,Unknown,,,,111
University of Arkansas,Fayetteville,AR,9748,28772,17525,Somewhat selective,71.67,,,27312
University of Arkansas at Pine Bluff,Pine Bluff,AR,9019,17029,11679,Somewhat selective,57.54,,,1899
Arkansas State University-Beebe,Beebe,AR,3216,5040,8652,Unknown,,,,1902
Arkansas State University,Jonesboro,AR,7754,13826,13085,Somewhat selective,69.67,,,7994
Arkansas Tech University,Russellville,AR,8508,14502,12171,Less selective,96.29,,,5993
University of Arkansas at Monticello,Monticello,AR,8868,14718,14013,Unknown,,,,1868
Baptist Health College Little Rock,Little Rock,AR,13593,13593,34755,Less selective,100.0,,,512
Black River Technical College,Pocahontas,AR,4584,7242,6053,Unknown,,,,938
University of Central Arkansas,Conway,AR,10118,17258,16775,Less selective,90.47,,,7426
Central Baptist College,Conway,AR,19680,19680,16664,Selective,46.36,,,477
Cossatot Community College of the University of Arkansas,De Queen,AR,3906,4746,5200,Unknown,,,,835
Crowley's Ridge College,Paragould,AR,16440,16440,17236,Unknown,,,,162
East Arkansas Community College,Forrest City,AR,3960,4980,6769,Unknown,,,,492
Paul Mitchell the School-Little Rock,North Little Rock,AR,,,14508,Unknown,,,,411
National Park College,Hot Springs,AR,5600,7280,11442,Unknown,,,,1706
University of Arkansas Community College-Batesville,Batesville,AR,3558,4542,9359,Unknown,,,,788
Harding University,Searcy,AR,24888,24888,20579,Less selective,100.0,,,3323
Henderson State University,Arkadelphia,AR,7885,9882,16929,Less selective,81.92,,,1491
Hendrix College,Conway,AR,36650,36650,23409,Somewhat selective,52.98,,,1094
John Brown University,Siloam Springs,AR,30832,30832,21144,Somewhat selective,67.64,,,1415
Career Academy of Hair Design,Springdale,AR,,,13563,Unknown,,,,244
Arkansas State University Mid-South,West Memphis,AR,3048,4560,3558,Unknown,,,,435
Arkansas Northeastern College,Blytheville,AR,2570,4250,5144,Unknown,,,,787
North Arkansas College,Harrison,AR,3168,5544,10146,Unknown,,,,1184
Northwest Technical Institute,Springdale,AR,5184,5184,11212,Unknown,,,,217
Ouachita Baptist University,Arkadelphia,AR,32480,32480,22355,Somewhat selective,68.52,,,1612
Arkansas State University Three Rivers,Malvern,AR,3568,4168,7520,Unknown,,,,514
Ozarka College,Melbourne,AR,3820,6820,4396,Unknown,,,,564
University of the Ozarks,Clarksville,AR,25950,25950,13630,Somewhat selective,58.14,,,753
University of Arkansas Community College-Morrilton,Morrilton,AR,3504,4176,11718,Less selective,100.0,,,1538
Philander Smith University,Little Rock,AR,13014,13014,15360,Unknown,,,,842
Phillips Community College of the University of Arkansas,Helena,AR,3230,5270,5420,Unknown,,,,595
Southeast Arkansas College,Pine Bluff,AR,4960,8260,11185,Unknown,,,,748
University of Arkansas-Pulaski Technical College,North Little Rock,AR,4848,7248,15000,Unknown,,,,3791
University of Arkansas Hope-Texarkana,Hope,AR,3400,4960,8210,Unknown,,,,697
University of Arkansas Community College Rich Mountain,Mena,AR,3528,4104,4914,Unknown,,,,475
Paul Mitchell the School-Arkansas,Fayetteville,AR,,,15309,Unknown,,,,107
Shorter College,N Little Rock,AR,6246,6246,12993,Unknown,,,,290
Williams Baptist University,Walnut Ridge,AR,20330,20330,15875,Somewhat selective,58.88,,,490
South Arkansas College,El Dorado,AR,3204,5364,6235,Unknown,,,,879
Southern Arkansas University Main Campus,Magnolia,AR,9820,15400,15944,Somewhat selective,66.59,,,2865
Southern Arkansas University Tech,Camden,AR,4685,4685,5895,Unknown,,,,663
University of Arkansas-Fort Smith,Fort Smith,AR,6906,13770,10097,Less selective,81.47,,,4133
Academy of Art University,San Francisco,CA,28024,28024,39778,Unknown,,,,4131
College of Alameda,Alameda,CA,1148,8684,9280,Unknown,,,,4274
Allan Hancock College,Santa Maria,CA,1156,9436,4638,Unknown,,,,7812
American Beauty College,West Covina,CA,,,24076,Unknown,,,,250
American Career College-Los Angeles,Los Angeles,CA,,,27508,Unknown,,,,2066
American River College,Sacramento,CA,1288,12808,4628,Unknown,,,,25758
Antelope Valley Community College District,Lancaster,CA,1124,8228,8263,Unknown,,,,10905
Art Center College of Design,Pasadena,CA,51640,51640,50209,Somewhat selective,74.98,,,2054
Associated Technical College-Los Angeles,Los Angeles,CA,,,22236,Unknown,,,,159
Azusa Pacific University,Azusa,CA,43600,43600,19798,Less selective,79.48,,,2977
Bakersfield College,Bakersfield,CA,1430,10310,4751,Unknown,,,,16451
Barstow Community College,Barstow,CA,1104,9936,12347,Unknown,,,,2585
Bellus Academy-Chula Vista,Chula Vista,CA,,,20159,Unknown,,,,379
Bethesda University,Anaheim,CA,7220,7220,8388,Unknown,,,,212
Biola University,La Mirada,CA,46704,46704,28101,Somewhat selective,60.08,,,3390
Brownson Technical School,Anaheim,CA,,,32584,Unknown,,,,284
Bryan University,Tempe,AZ,12185,12185,20948,Unknown,,,,2083
Butte College,Oroville,CA,1336,8416,4632,Unknown,,,,8384
Cabrillo College,Aptos,CA,1270,9910,13328,Unknown,,,,7404
California Baptist University,Riverside,CA,39720,39720,27384,Somewhat selective,73.57,,,7914
California College of the Arts,San Francisco,CA,57946,57946,42168,Somewhat selective,73.4,,,1004
California Institute of Technology,Pasadena,CA,63255,63255,18902,Extremely selective,3.14,,,1023
California Lutheran University,Thousand Oaks,CA,50670,50670,26433,Less selective,88.88,,,2374
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,11075,30995,15624,Selective,29.75,,,21521
Alliant International University-San Diego,San Diego,CA,13918,13918,,Extremely selective,0.0,,,355
California State University-Bakersfield,Bakersfield,CA,7696,19576,5825,Less selective,88.19,,,8183
California State University-Stanislaus,Turlock,CA,7826,19706,5671,Less selective,97.47,,,8564
California State University-San Bernardino,San Bernardino,CA,7675,19555,5918,Less selective,98.25,,,15771
California State Polytechnic University-Pomona,Pomona,CA,7439,19319,11580,Somewhat selective,73.7,,,24271
California State University-Chico,Chico,CA,8064,19944,14838,Less selective,93.72,,,13057
California State University-Dominguez Hills,Carson,CA,7064,18944,3659,Less selective,91.32,,,12642
California State University-Fresno,Fresno,CA,6980,18860,6480,Less selective,96.38,,,21070
California State University-Fullerton,Fullerton,CA,7073,18953,5646,Less selective,86.74,,,36956
California State University-East Bay,Hayward,CA,7055,18935,11276,Less selective,96.81,,,10422
California State University-Long Beach,Long Beach,CA,7008,18888,8931,Selective,47.12,,,34131
California State University-Los Angeles,Los Angeles,CA,6813,18698,4113,Less selective,91.93,,,21478
California State University-Northridge,Northridge,CA,7095,18975,7599,Less selective,93.15,,,32357
California State University-Sacramento,Sacramento,CA,7602,19482,10512,Less selective,93.62,,,27867
University of California-Berkeley,Berkeley,CA,14850,45627,14979,Very selective,11.66,,,33073
University of California-Davis,Davis,CA,15247,46024,15288,Selective,41.63,,,31777
University of California-Irvine,Irvine,CA,14237,45014,12840,Selective,25.57,,,29494
University of California-Los Angeles,Los Angeles,CA,13747,44524,14013,Extremely selective,8.73,,,33040
University of California-Riverside,Riverside,CA,14170,44947,13707,Somewhat selective,63.3,,,22644
University of California-San Diego,La Jolla,CA,15265,46042,11750,Very selective,24.52,,,33787
University of California-Santa Barbara,Santa Barbara,CA,14965,45742,13825,Selective,27.78,,,23205
University of California-Santa Cruz,Santa Cruz,CA,14560,45337,16607,Somewhat selective,62.54,,,17812
California Hair Design Academy,La Mesa,CA,,,40350,Unknown,,,,125
California Institute of the Arts,Valencia,CA,56724,56724,47183,Selective,25.95,,,881
California State University Maritime Academy,Vallejo,CA,7672,19552,17555,Less selective,98.73,,,761
Canada College,Redwood City,CA,1332,9508,10,Unknown,,,,4878
College of the Canyons,Santa Clarita,CA,1176,11232,2114,Unknown,,,,15365
Career Academy of Beauty,Garden Grove,CA,,,19101,Unknown,,,,207
Casa Loma College-Los Angeles,Sherman Oaks,CA,,,27721,Selective,36.41,,,581
CET-San Jose,San Jose,CA,,,15045,Unknown,,,,175
Cerritos College,Norwalk,CA,1364,12004,693,Unknown,,,,18710
Cerro Coso Community College,Ridgecrest,CA,1384,10264,6078,Unknown,,,,3496
Chabot College,Hayward,CA,1150,8686,4616,Unknown,,,,10861
Chaffey College,Rancho Cucamonga,CA,1184,11120,5743,Unknown,,,,13568
Chapman University,Orange,CA,62784,62784,47527,Somewhat selective,55.61,,,7629
Charles R Drew University of Medicine and Science,Los Angeles,CA,18933,18933,27789,Selective,38.78,,,233
Concordia University-Irvine,Irvine,CA,41390,41390,28046,Somewhat selective,59.86,,,1456
Citrus College,Glendora,CA,1204,9844,3800,Unknown,,,,8126
Citrus Heights Beauty College,Citrus Heights,CA,,,30408,Unknown,,,,110
City College of San Francisco,San Francisco,CA,1696,14656,7272,Unknown,,,,16060
Claremont McKenna College,Claremont,CA,64150,64150,27384,Very selective,11.12,,,1379
Milan Institute-Visalia,Visalia,CA,,,28638,Unknown,,,,632
Clovis Adult Education,Clovis,CA,,,,Unknown,,,,268
Coastline Community College,Fountain Valley,CA,1180,9964,9605,Unknown,,,,7007
University of Silicon Valley,San Jose,CA,22480,22480,30799,Somewhat selective,51.31,,,377
Coba Academy,Anaheim,CA,,,16761,Unknown,,,,100
Columbia College,Sonora,CA,1547,8870,15468,Unknown,,,,1917
California College of ASU,Los Angeles,CA,26175,26175,30320,Unknown,,,,149
Compton College,Compton,CA,1142,8822,11103,Unknown,,,,2881
Contra Costa College,San Pablo,CA,1312,9012,6522,Unknown,,,,4805
Cosumnes River College,Sacramento,CA,1288,12808,4648,Unknown,,,,13527
Crafton Hills College,Yucaipa,CA,1188,12320,10655,Unknown,,,,5074
Cuesta College,San Luis Obispo,CA,1340,11000,12898,Unknown,,,,6879
Cuyamaca College,El Cajon,CA,1340,10636,6187,Unknown,,,,6788
Cypress College,Cypress,CA,1150,9399,4683,Unknown,,,,12309
De Anza College,Cupertino,CA,1562,12317,4667,Unknown,,,,14953
International School of Beauty Inc,Palm Desert,CA,,,13450,Unknown,,,,173
College of the Desert,Palm Desert,CA,1326,9586,11812,Unknown,,,,8900
Diablo Valley College,Pleasant Hill,CA,1312,9012,6142,Unknown,,,,14734
Dominican University of California,San Rafael,CA,50666,50666,50218,Less selective,95.62,,,1178
East Los Angeles College,Monterey Park,CA,1238,10130,9791,Unknown,,,,24401
El Camino Community College District,Torrance,CA,1144,7144,5170,Unknown,,,,18994
Evergreen Valley College,San Jose,CA,1366,8718,12591,Unknown,,,,7670
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,34325,34325,41493,Selective,41.5,,,1319
Feather River Community College District,Quincy,CA,1465,9925,6520,Unknown,,,,1574
Federico Beauty Institute,Sacramento,CA,,,25736,Unknown,,,,245
Foothill College,Los Altos Hills,CA,1565,12320,7549,Unknown,,,,10922
Fresno City College,Fresno,CA,1334,9454,1699,Unknown,,,,18774
Fresno Pacific University,Fresno,CA,35558,35558,14317,Somewhat selective,57.52,,,1614
Fullerton College,Fullerton,CA,1150,9399,8090,Unknown,,,,16637
Gavilan College,Gilroy,CA,1506,12246,2244,Unknown,,,,4410
Gemological Institute of America-Carlsbad,Carlsbad,CA,,,31435,Unknown,,,,308
Glendale Community College,Glendale,CA,1181,8381,7461,Unknown,,,,9807
Glendale Career College,Glendale,CA,,,46212,Unknown,,,,854
Golden Gate University,San Francisco,CA,31243,31243,,Unknown,,,,550
Golden West College,Huntington Beach,CA,1196,11084,2861,Unknown,,,,8919
Grossmont College,El Cajon,CA,1332,10628,2755,Unknown,,,,11467
Salon Success Academy-Riverside,Riverside,CA,,,13095,Unknown,,,,173
Hartnell College,Salinas,CA,1404,8994,2895,Unknown,,,,7153
Harvey Mudd College,Claremont,CA,66255,66255,32492,Very selective,13.06,,,915
California State Polytechnic University-Humboldt,Arcata,CA,7913,19793,13167,Less selective,98.83,,,5491
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,14760,14760,11410,Unknown,,,,178
Imperial Valley College,Imperial,CA,1126,7990,1697,Unknown,,,,6881
Institute for Business and Technology,Santa Clara,CA,,,25471,Unknown,,,,609
Interior Designers Institute,Newport Beach,CA,20250,20250,,Unknown,,,,107
Irvine Valley College,Irvine,CA,1156,10996,1886,Unknown,,,,9577
Bellus Academy-El Cajon,El Cajon,CA,,,29547,Unknown,,,,205
Reedley College,Reedley,CA,1334,9454,1584,Unknown,,,,4853
Life Pacific University,San Dimas,CA,20462,20462,22343,Less selective,93.95,,,393
University of La Verne,La Verne,CA,47000,47000,26925,Selective,48.48,,,3341
Laguna College of Art and Design,Laguna Beach,CA,35650,35650,42354,Less selective,77.61,,,776
Lake Tahoe Community College,South Lake Tahoe,CA,1131,11067,10975,Unknown,,,,2909
Lancaster Beauty School,Lancaster,CA,,,21235,Unknown,,,,131
Laney College,Oakland,CA,1148,8684,15805,Unknown,,,,7158
Lassen Community College,Susanville,CA,1144,8224,7677,Unknown,,,,1564
Lincoln University,Oakland,CA,11420,11420,,Unknown,,,,223
La Sierra University,Riverside,CA,35910,35910,26217,Less selective,93.3,,,1155
Loma Linda University,Loma Linda,CA,,,,Unknown,,,,867
Long Beach City College,Long Beach,CA,1556,11440,5001,Unknown,,,,21899
Southern California University of Health Sciences,Whittier,CA,10769,10769,45633,Unknown,,,,132
Los Angeles Harbor College,Wilmington,CA,1238,10050,11245,Unknown,,,,6496
Los Angeles Pierce College,Woodland Hills,CA,1238,10130,11196,Unknown,,,,13029
Los Angeles Southwest College,Los Angeles,CA,1238,10130,6683,Unknown,,,,3793
Los Angeles Trade Technical College,Los Angeles,CA,1238,10130,10658,Unknown,,,,10165
Los Angeles Valley College,Valley Glen,CA,1238,10130,10200,Unknown,,,,12470
The Master's University and Seminary,Santa Clarita,CA,36930,36930,32121,Less selective,75.89,,,1606
Los Angeles City College,Los Angeles,CA,1238,10130,7532,Unknown,,,,10857
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,,,,Unknown,,,,220
Los Angeles Mission College,Sylmar,CA,1238,10130,11972,Unknown,,,,8031
Los Medanos College,Pittsburg,CA,1312,9012,5692,Unknown,,,,7100
Loyola Marymount University,Los Angeles,CA,58974,58974,45723,Selective,40.29,,,7171
Lu Ross Academy,Ventura,CA,,,15711,Unknown,,,,277
Lytles Redwood Empire Beauty College,Santa Rosa,CA,,,24603,Unknown,,,,114
MTI College,Sacramento,CA,,,20336,Less selective,81.93,,,1025
College of Marin,Kentfield,CA,1558,10828,15517,Unknown,,,,3928
Mendocino College,Ukiah,CA,1423,8893,7500,Unknown,,,,2857
Menlo College,Atherton,CA,51070,51070,27032,Somewhat selective,67.81,,,811
Merced College,Merced,CA,1194,8154,4260,Unknown,,,,9677
Merritt College,Oakland,CA,1167,8703,14742,Unknown,,,,5153
MiraCosta College,Oceanside,CA,1152,9120,7178,Unknown,,,,10474
Mission College,Santa Clara,CA,1438,12220,5198,Unknown,,,,5557
Modesto Junior College,Modesto,CA,1270,8870,10176,Unknown,,,,14714
Moler Barber College,Oakland,CA,,,22135,Unknown,,,,335
Monterey Peninsula College,Monterey,CA,1188,9924,13498,Unknown,,,,5759
Moorpark College,Moorpark,CA,1416,8179,742,Unknown,,,,12011
Mt San Antonio College,Walnut,CA,1364,10212,3107,Unknown,,,,25311
Mount Saint Mary's University,Los Angeles,CA,48132,48132,25009,Somewhat selective,68.72,,,1746
Mt San Jacinto Community College District,San Jacinto,CA,1406,11276,7098,Unknown,,,,14859
Musicians Institute,Hollywood,CA,28400,28400,37793,Somewhat selective,71.29,,,735
Napa Valley College,Napa,CA,1156,11908,14046,Unknown,,,,3205
National Holistic Institute,Emeryville,CA,,,29199,Unknown,,,,1134
National University,San Diego,CA,13320,13320,31058,Unknown,,,,9725
Newschool of Architecture and Design,San Diego,CA,30291,30291,48616,Less selective,100.0,,,212
North Adrian's College of Beauty Inc,Modesto,CA,,,20347,Unknown,,,,213
North-West College-Pomona,Pomona,CA,,,33256,Unknown,,,,315
North-West College-West Covina,West Covina,CA,,,28408,Unknown,,,,635
North-West College-Van Nuys,Van Nuys,CA,,,33464,Unknown,,,,225
Occidental College,Los Angeles,CA,63446,63446,39329,Selective,39.89,,,1844
Ohlone College,Fremont,CA,1202,8714,14130,Unknown,,,,6958
Orange Coast College,Costa Mesa,CA,1208,9992,4754,Unknown,,,,16117
Otis College of Art and Design,Los Angeles,CA,55513,55513,45864,Less selective,83.98,,,1242
Oxnard College,Oxnard,CA,1416,8179,659,Unknown,,,,6059
Hope International University,Fullerton,CA,36250,36250,27653,Selective,35.39,,,549
Concorde Career College-San Diego,San Diego,CA,,,24477,Less selective,93.95,,,178
Pacific Oaks College,Pasadena,CA,33360,33360,,Very selective,10.0,,,346
Pacific Union College,Angwin,CA,35214,35214,20979,Selective,42.48,,,910
University of the Pacific,Stockton,CA,55340,55340,25926,Less selective,94.86,,,3247
Palo Verde College,Blythe,CA,1288,12880,10543,Unknown,,,,2909
Palomar College,San Marcos,CA,1354,10650,5247,Unknown,,,,16167
Pasadena City College,Pasadena,CA,1180,10756,3123,Unknown,,,,20624
Pepperdine University,Malibu,CA,66742,66742,45409,Selective,49.85,,,3629
Pitzer College,Claremont,CA,62692,62692,31663,Very selective,16.66,,,1191
Point Loma Nazarene University,San Diego,CA,43550,43550,50168,Less selective,81.76,,,3132
Pomona College,Claremont,CA,62326,62326,19424,Extremely selective,6.76,,,1638
Porterville College,Porterville,CA,1409,10289,3728,Unknown,,,,2775
Santa Ana College,Santa Ana,CA,1180,9460,3854,Unknown,,,,22011
Shasta School of Cosmetology,Redding,CA,,,26582,Unknown,,,,101
University of Redlands,Redlands,CA,57614,57614,22867,Less selective,80.92,,,2095
College of the Redwoods,Eureka,CA,1147,7783,3214,Unknown,,,,3514
Salon Success Academy-Upland,Upland,CA,,,16626,Unknown,,,,238
Salon Success Academy-Corona,Corona,CA,,,12983,Unknown,,,,216
Rio Hondo College,Whittier,CA,1388,9884,11903,Unknown,,,,15365
Riverside City College,Riverside,CA,1420,11230,4026,Unknown,,,,17361
Sacramento City College,Sacramento,CA,1288,12808,3974,Unknown,,,,16952
Saddleback College,Mission Viejo,CA,1432,13732,2976,Unknown,,,,15959
Samuel Merritt University,Oakland,CA,,,,Unknown,,,,712
San Diego City College,San Diego,CA,1150,9094,-818,Unknown,,,,10584
San Diego Mesa College,San Diego,CA,1150,9094,-904,Unknown,,,,15899
San Diego Miramar College,San Diego,CA,1150,9094,-2735,Unknown,,,,10740
San Diego State University,San Diego,CA,8290,20170,16174,Selective,34.44,,,33654
University of San Diego,San Diego,CA,56444,56444,31265,Selective,46.75,,,5619
San Francisco Conservatory of Music,San Francisco,CA,54550,54550,42448,Somewhat selective,51.94,,,215
San Francisco State University,San Francisco,CA,7424,19304,12882,Less selective,96.15,,,20033
University of San Francisco,San Francisco,CA,58222,58222,39495,Somewhat selective,50.77,,,5697
San Joaquin Delta College,Stockton,CA,1288,9072,8508,Unknown,,,,13964
