name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
North Idaho College,Coeur d'Alene,ID,3396,8736,11481,Unknown,,,,2488
Northwest Nazarene University,Nampa,ID,39370,39370,25537,Somewhat selective,62.95,,,1138
Brigham Young University-Idaho,Rexburg,ID,4656,4656,7131,Less selective,96.95,,,42090
College of Southern Idaho,Twin Falls,ID,3360,6840,7005,Unknown,,,,3476
School of the Art Institute of Chicago,Chicago,IL,54530,54530,49822,Less selective,76.42,,,2762
Augustana College,Rock Island,IL,49834,49834,12437,Somewhat selective,67.65,,,2418
Aurora University,Aurora,IL,28220,28220,18992,Less selective,85.14,,,4021
Southwestern Illinois College,Belleville,IL,3870,6210,7210,Unknown,,,,5280
Black Hawk College,Moline,IL,4920,8100,6718,Unknown,,,,2266
Blackburn College,Carlinville,IL,26758,26758,21814,Less selective,80.14,,,341
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,,,,Unknown,,,,176
Bradley University,Peoria,IL,39680,39680,23572,Less selective,76.66,,,3865
Paul Mitchell the School-Tinley Park,Tinley Park,IL,,,14852,Unknown,,,,253
Carl Sandburg College,Galesburg,IL,5300,8810,1036,Unknown,,,,1124
Chicago State University,Chicago,IL,12754,12754,10133,Selective,40.52,,,1414
University of Chicago,Chicago,IL,66939,66939,18967,Extremely selective,4.79,,,7540
City Colleges of Chicago-Kennedy-King College,Chicago,IL,4380,14430,4902,Unknown,,,,1564
City Colleges of Chicago-Malcolm X College,Chicago,IL,4380,14430,3729,Unknown,,,,5847
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,4380,14430,5749,Unknown,,,,1425
City Colleges of Chicago-Harry S Truman College,Chicago,IL,4380,14430,3816,Unknown,,,,2248
City Colleges of Chicago-Richard J Daley College,Chicago,IL,4380,14430,3166,Unknown,,,,2540
City Colleges of Chicago-Harold Washington College,Chicago,IL,4380,14430,2974,Unknown,,,,4146
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,4380,14430,2651,Unknown,,,,4186
Columbia College Chicago,Chicago,IL,32520,32520,26788,Less selective,91.17,,,6294
Concordia University-Chicago,River Forest,IL,36258,36258,16774,Less selective,93.36,,,1337
Danville Area Community College,Danville,IL,5300,9200,2943,Unknown,,,,1360
Tricoci University of Beauty Culture,Urbana,IL,,,15024,Unknown,,,,171
DePaul University,Chicago,IL,44460,44460,29141,Somewhat selective,73.53,,,14283
Cosmetology & Spa Academy,Crystal Lake,IL,,,14887,Unknown,,,,377
College of DuPage,Glen Ellyn,IL,4320,12510,6182,Unknown,,,,15185
East-West University,Chicago,IL,26100,26100,21055,Unknown,,,,528
Eastern Illinois University,Charleston,IL,13403,15879,14093,Somewhat selective,67.75,,,4398
Elgin Community College,Elgin,IL,3180,9516,5778,Unknown,,,,6463
Elmhurst University,Elmhurst,IL,41628,41628,21063,Less selective,75.74,,,2954
Eureka College,Eureka,IL,28400,28400,22048,Less selective,88.47,,,522
First Institute of Travel Inc.,Crystal Lake,IL,,,20410,Unknown,,,,274
Fox College,Tinley Park,IL,17190,17190,13506,Less selective,76.56,,,239
Governors State University,University Park,IL,11320,11320,9477,Unknown,,,,2518
Greenville University,Greenville,IL,30598,30598,21270,Less selective,95.37,,,873
G Skin & Beauty Institute,Schaumburg,IL,,,21142,Unknown,,,,494
Hair Professionals School of Cosmetology,Oswego,IL,,,19759,Unknown,,,,121
Highland Community College,Freeport,IL,4696,7120,5359,Unknown,,,,926
University of Illinois Chicago,Chicago,IL,14338,29360,12313,Less selective,78.5,,,21814
Benedictine University,Lisle,IL,34290,34290,23529,Less selective,77.22,,,1817
University of Illinois Urbana-Champaign,Champaign,IL,16004,34501,15201,Selective,43.69,,,34623
Illinois Wesleyan University,Bloomington,IL,55704,55704,29550,Selective,45.17,,,1570
Illinois Central College,East Peoria,IL,4650,11700,11510,Unknown,,,,4909
Illinois College,Jacksonville,IL,37470,37470,17945,Somewhat selective,74.67,,,925
Olney Central College,Olney,IL,4390,12340,9968,Unknown,,,,549
Illinois Institute of Technology,Chicago,IL,51763,51763,19353,Somewhat selective,55.42,,,2812
Illinois State University,Normal,IL,16021,28086,18996,Less selective,89.01,,,18414
Illinois Valley Community College,Oglesby,IL,4060,14981,3957,Unknown,,,,1851
John A Logan College,Carterville,IL,4630,7540,7599,Unknown,,,,2018
John Wood Community College,Quincy,IL,5700,9000,6596,Unknown,,,,1387
Joliet Junior College,Joliet,IL,4530,13800,5741,Unknown,,,,8843
Judson University,Elgin,IL,30910,30910,25027,Somewhat selective,63.12,,,780
Kankakee Community College,Kankakee,IL,5070,25680,5190,Unknown,,,,1904
Kaskaskia College,Centralia,IL,4800,12570,6839,Unknown,,,,1842
Kishwaukee College,Malta,IL,4980,13800,6480,Unknown,,,,1794
Knox College,Galesburg,IL,55587,55587,24875,Somewhat selective,71.13,,,997
College of Lake County,Grayslake,IL,4494,14036,6212,Unknown,,,,9282
Lake Forest College,Lake Forest,IL,54202,54202,27499,Somewhat selective,59.41,,,1782
Lake Land College,Mattoon,IL,4280,13906,3271,Unknown,,,,2492
Lewis and Clark Community College,Godfrey,IL,3552,12552,4281,Unknown,,,,2252
Lewis University,Romeoville,IL,37882,37882,18370,Somewhat selective,72.73,,,3665
Lincoln Land Community College,Springfield,IL,3672,10248,5294,Unknown,,,,3917
Loyola University Chicago,Chicago,IL,51716,51716,35196,Less selective,81.39,,,11576
Generations College,Chicago,IL,12700,12700,19558,Unknown,,,,317
McHenry County College,Crystal Lake,IL,4012,14885,8093,Unknown,,,,4335
McKendree University,Lebanon,IL,34070,34070,24190,Somewhat selective,63.88,,,1600
Methodist College,Peoria,IL,18008,18008,14867,Selective,31.11,,,374
Millikin University,Decatur,IL,26892,43670,8837,Somewhat selective,54.05,,,1458
Monmouth College,Monmouth,IL,43520,43520,18034,Less selective,86.62,,,725
Moody Bible Institute,Chicago,IL,15356,15356,25007,Less selective,97.54,,,1586
Moraine Valley Community College,Palos Hills,IL,3822,9846,1771,Unknown,,,,7417
Morton College,Cicero,IL,4884,11028,6763,Unknown,,,,2593
National Louis University,Chicago,IL,12345,12345,16157,Less selective,93.12,,,4100
North Central College,Naperville,IL,44394,44394,23033,Somewhat selective,58.31,,,2360
North Park University,Chicago,IL,35325,35325,18191,Somewhat selective,72.84,,,1844
Northern Illinois University,Dekalb,IL,12700,12700,12909,Somewhat selective,70.45,,,11277
Northwestern University,Evanston,IL,65997,65997,27143,Extremely selective,7.15,,,8960
Northeastern Illinois University,Chicago,IL,12383,22726,13550,Somewhat selective,70.4,,,3869
Oakton College,Des Plaines,IL,3985,12462,6188,Unknown,,,,6229
Olivet Nazarene University,Bourbonnais,IL,37940,37940,21539,Somewhat selective,66.9,,,2485
Parkland College,Champaign,IL,4284,13266,8271,Unknown,,,,3293
Prairie State College,Chicago Heights,IL,4176,11064,5280,Unknown,,,,2448
Principia College,Elsah,IL,33280,33280,,Selective,44.4,,,337
Quincy University,Quincy,IL,35740,35740,17324,Selective,49.89,,,1038
Rend Lake College,Ina,IL,4500,7800,7309,Unknown,,,,1196
Richland Community College,Decatur,IL,4590,17070,5393,Unknown,,,,1412
Rock Valley College,Rockford,IL,4274,21344,7325,Unknown,,,,4362
Rockford University,Rockford,IL,37300,37300,23066,Somewhat selective,57.23,,,956
Roosevelt University,Chicago,IL,20280,20280,20152,Less selective,94.27,,,2583
Dominican University,River Forest,IL,37844,37844,15113,Less selective,79.8,,,2271
Rush University,Chicago,IL,,,,Unknown,,,,120
Saint Francis Medical Center College of Nursing,Peoria,IL,,,,Unknown,,,,267
University of St Francis,Joliet,IL,37000,37000,16284,Somewhat selective,63.93,,,1292
Saint Xavier University,Chicago,IL,36840,36840,12093,Less selective,85.75,,,3030
University of Illinois Springfield,Springfield,IL,12252,22017,8916,Less selective,84.37,,,2292
Sauk Valley Community College,Dixon,IL,5190,12840,8388,Unknown,,,,1164
Shawnee Community College,Ullin,IL,4650,7500,4542,Unknown,,,,675
St. Augustine College,Chicago,IL,13288,13288,17082,Unknown,,,,749
Southeastern Illinois College,Harrisburg,IL,4320,6540,5571,Unknown,,,,659
Spoon River College,Canton,IL,5580,12540,6584,Unknown,,,,735
Saint Anthony College of Nursing,Rockford,IL,27811,27811,,Less selective,100.0,,,152
Southern Illinois University-Carbondale,Carbondale,IL,13244,13244,16177,Less selective,90.44,,,8116
Southern Illinois University-Edwardsville,Edwardsville,IL,12922,12922,13696,Less selective,97.21,,,8836
South Suburban College,South Holland,IL,5093,12683,2919,Unknown,,,,2012
Trinity Christian College,Palos Heights,IL,20325,20325,16381,Less selective,88.65,,,796
Trinity International University-Illinois,Deerfield,IL,12320,12320,21386,Less selective,93.18,,,140
Triton College,River Grove,IL,4920,14880,4427,Unknown,,,,6229
University of Spa & Cosmetology Arts,Springfield,IL,,,17951,Unknown,,,,165
Waubonsee Community College,Sugar Grove,IL,3432,12330,6113,Unknown,,,,5499
Western Illinois University,Macomb,IL,14952,14952,11592,Somewhat selective,74.96,,,4939
Wheaton College,Wheaton,IL,43930,43930,26984,Less selective,89.98,,,2087
William Rainey Harper College,Palatine,IL,3822,11802,6186,Unknown,,,,8815
Anderson University,Anderson,IN,35640,35640,22144,Somewhat selective,53.42,,,1070
Ball State University,Muncie,IN,10758,28766,15898,Somewhat selective,71.6,,,13770
Bethel University,Mishawaka,IN,33320,33320,19726,Less selective,98.68,,,1069
Butler University,Indianapolis,IN,45980,45980,38472,Less selective,85.87,,,4383
Calumet College of Saint Joseph,Whiting,IN,22650,22650,20739,Unknown,,,,560
College of Court Reporting Inc,Valparaiso,IN,10080,10080,41410,Unknown,,,,183
Tricoci University of Beauty Culture-Highland,Highland,IN,,,19194,Unknown,,,,317
DePauw University,Greencastle,IN,57070,57070,24546,Somewhat selective,54.06,,,1804
Earlham College,Richmond,IN,51840,51840,24516,Somewhat selective,74.22,,,612
University of Evansville,Evansville,IN,42676,42676,20230,Less selective,77.65,,,1477
Franklin College,Franklin,IN,37350,37350,22762,Somewhat selective,70.58,,,872
Goshen College,Goshen,IN,37760,37760,15725,Less selective,88.94,,,761
Grace College and Theological Seminary,Winona Lake,IN,30034,30034,18406,Less selective,80.78,,,1511
Hanover College,Hanover,IN,42894,42894,21826,Less selective,83.97,,,958
Holy Cross College,Notre Dame,IN,35500,35500,26470,Somewhat selective,73.71,,,533
PJ's College of Cosmetology-Clarksville,Clarksville,IN,,,20299,Unknown,,,,222
Huntington University,Huntington,IN,29982,29982,13710,Somewhat selective,71.15,,,1016
Ivy Tech Community College,Indianapolis,IN,4912,9465,6544,Unknown,,,,54926
Purdue University Fort Wayne,Fort Wayne,IN,9254,22220,11513,Less selective,85.66,,,5450
Indiana University-Indianapolis,Indianapolis,IN,10449,33717,11408,Less selective,81.39,,,16582
University of Indianapolis,Indianapolis,IN,36136,36136,18748,Somewhat selective,72.76,,,3147
Indiana Institute of Technology,Fort Wayne,IN,30446,30446,21318,Somewhat selective,56.89,,,1361
University of Southern Indiana,Evansville,IN,10136,22573,12621,Less selective,94.65,,,5344
Indiana State University,Terre Haute,IN,9992,21734,12188,Less selective,91.5,,,6620
Indiana University-Kokomo,Kokomo,IN,8179,22043,6276,Less selective,84.69,,,2308
Indiana University-South Bend,South Bend,IN,8179,22043,8364,Less selective,85.99,,,3807
Indiana University-Bloomington,Bloomington,IN,11790,40482,15342,Less selective,80.37,,,36571
Indiana University-Northwest,Gary,IN,8179,22043,5970,Less selective,76.7,,,2582
Indiana University-Southeast,New Albany,IN,8179,22043,8257,Less selective,83.12,,,3088
Indiana University-East,Richmond,IN,8179,22043,9082,Somewhat selective,71.24,,,2446
International Business College-Indianapolis,Indianapolis,IN,16480,16480,14989,Less selective,81.82,,,145
Lincoln College of Technology-Indianapolis,Indianapolis,IN,,,29530,Unknown,,,,1004
Manchester University,North Manchester,IN,37090,37090,19268,Less selective,91.3,,,895
Marian University,Indianapolis,IN,39100,39100,23594,Less selective,95.34,,,2336
Indiana Wesleyan University-Marion,Marion,IN,31168,31168,23069,Less selective,82.21,,,1927
Martin University,Indianapolis,IN,12830,12830,13879,Unknown,,,,164
Mid-America College of Funeral Service,Jeffersonville,IN,19800,19800,25456,Unknown,,,,337
University of Notre Dame,Notre Dame,IN,62693,62693,27823,Very selective,12.38,,,8923
Oakland City University,Oakland City,IN,27150,27150,12820,Somewhat selective,68.21,,,470
Ravenscroft Beauty College,Fort Wayne,IN,,,,Unknown,,,,114
Rogers Academy of Hair Design,Evansville,IN,,,15466,Unknown,,,,101
Rose-Hulman Institute of Technology,Terre Haute,IN,56674,56674,40665,Somewhat selective,72.81,,,2224
University of Saint Francis-Fort Wayne,Fort Wayne,IN,35420,35420,20361,Less selective,97.56,,,1599
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,33490,33490,43465,Less selective,76.14,,,896
Saint Mary's College,Notre Dame,IN,51430,51430,28552,Less selective,81.11,,,1399
Saint Elizabeth School of Nursing,Lafayette,IN,20064,20064,27833,Less selective,100.0,,,131
Taylor University,Upland,IN,39104,39104,24327,Less selective,76.11,,,1890
Trine University,Angola,IN,35600,35600,25580,Less selective,84.69,,,2344
Valparaiso University,Valparaiso,IN,46588,46588,21583,Less selective,92.22,,,2229
Vincennes University,Vincennes,IN,6886,16289,10215,Unknown,,,,3739
Wabash College,Crawfordsville,IN,49125,49125,21906,Somewhat selective,62.78,,,845
Allen College,Waterloo,IA,20444,20444,,Unknown,,,,279
Briar Cliff University,Sioux City,IA,35534,35534,21590,Unknown,,,,626
Buena Vista University,Storm Lake,IA,40190,40190,18321,Somewhat selective,71.76,,,1378
Capri College-Dubuque,Dubuque,IA,,,14104,Unknown,,,,153
Capri College-Cedar Rapids,Cedar Rapids,IA,,,13683,Unknown,,,,128
Central College,Pella,IA,20988,20988,22353,Less selective,78.97,,,1062
Clarke University,Dubuque,IA,39600,39600,20068,Somewhat selective,68.16,,,782
Coe College,Cedar Rapids,IA,52576,52576,19155,Somewhat selective,70.67,,,1246
Cornell College,Mount Vernon,IA,50634,50634,25079,Less selective,80.66,,,1074
Des Moines Area Community College,Ankeny,IA,5550,11100,11050,Unknown,,,,10406
Dordt University,Sioux Center,IA,35960,35960,25383,Somewhat selective,71.16,,,1547
Drake University,Des Moines,IA,49944,49944,30042,Somewhat selective,64.13,,,2669
University of Dubuque,Dubuque,IA,40065,40065,23250,Less selective,86.92,,,1473
Ellsworth Community College,Iowa Falls,IA,5304,6312,10915,Unknown,,,,540
Emmaus Bible College,Dubuque,IA,20000,20000,12904,Less selective,97.7,,,183
Eastern Iowa Community College District,Davenport,IA,4680,6299,9722,Unknown,,,,3244
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,19530,19530,17819,Selective,49.68,,,371
Graceland University-Lamoni,Lamoni,IA,33220,33220,15975,Less selective,83.22,,,901
Grand View University,Des Moines,IA,33450,33450,21616,Less selective,98.38,,,1472
Grinnell College,Grinnell,IA,64862,64862,15608,Very selective,12.68,,,1705
Hawkeye Community College,Waterloo,IA,6308,6598,10298,Unknown,,,,2528
Indian Hills Community College,Ottumwa,IA,4872,6120,7492,Unknown,,,,1635
Iowa Central Community College,Fort Dodge,IA,5376,7668,9601,Unknown,,,,3107
Iowa Lakes Community College,Estherville,IA,7196,7644,10846,Unknown,,,,995
Iowa State University,Ames,IA,10497,27683,18165,Less selective,89.13,,,25033
Iowa Western Community College,Council Bluffs,IA,6780,6930,11574,Unknown,,,,3029
University of Iowa,Iowa City,IA,10964,32927,21398,Less selective,84.67,,,21691
Kirkwood Community College,Cedar Rapids,IA,5980,7968,9388,Unknown,,,,7438
La James International College-Johnston,Johnston,IA,,,17456,Unknown,,,,113
Loras College,Dubuque,IA,38298,38298,21057,Less selective,91.83,,,1087
Luther College,Decorah,IA,50320,50320,25635,Somewhat selective,73.27,,,1454
Maharishi International University,Fairfield,IA,16530,16530,18225,Less selective,96.9,,,774
Marshalltown Community College,Marshalltown,IA,5304,5808,7144,Unknown,,,,868
Mercy College of Health Sciences,Des Moines,IA,17328,17328,23417,Less selective,98.78,,,905
Morningside University,Sioux City,IA,38190,38190,23169,Somewhat selective,70.57,,,1166
Mount Mercy University,Cedar Rapids,IA,39070,39070,23435,Less selective,78.76,,,1135
Ashford University,San Diego,CA,13160,13160,25321,Unknown,,,,23734
North Iowa Area Community College,Mason City,IA,6436,9245,8849,Unknown,,,,1271
University of Northern Iowa,Cedar Falls,IA,9728,21272,14609,Less selective,94.4,,,7599
Northwestern College,Orange City,IA,35300,35300,23519,Less selective,87.01,,,1125
Northeast Iowa Community College,Calmar,IA,6600,7470,10059,Unknown,,,,1736
Northwest Iowa Community College,Sheldon,IA,7110,7410,12357,Unknown,,,,856
PCI Academy-Ames,Ames,IA,,,18518,Unknown,,,,170
Saint Ambrose University,Davenport,IA,35598,35598,22750,Somewhat selective,73.32,,,2101
St Luke's College,Sioux City,IA,20940,20940,13021,Selective,44.44,,,192
La James International College-Davenport,Davenport,IA,,,20940,Unknown,,,,123
Simpson College,Indianola,IA,46212,46212,22231,Less selective,88.88,,,1130
Southeastern Community College,West Burlington,IA,6300,6450,12812,Unknown,,,,1529
Southwestern Community College,Creston,IA,7024,7248,9775,Unknown,,,,774
Capri College-Davenport,Davenport,IA,,,12882,Unknown,,,,142
Upper Iowa University,Fayette,IA,19000,19000,23172,Less selective,93.38,,,2021
Waldorf University,Forest City,IA,25220,25220,21683,Somewhat selective,72.6,,,2103
Wartburg College,Waverly,IA,51040,51040,22604,Less selective,99.41,,,1446
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,,,13595,Unknown,,,,101
Western Iowa Tech Community College,Sioux City,IA,5042,5186,8875,Unknown,,,,2589
William Penn University,Oskaloosa,IA,28750,28750,22115,Somewhat selective,57.01,,,1391
Allen County Community College,Iola,KS,3920,4480,5899,Unknown,,,,761
Baker University,Baldwin City,KS,33900,33900,22500,Less selective,92.1,,,1080
Barton County Community College,Great Bend,KS,3616,4832,11865,Unknown,,,,2273
Benedictine College,Atchison,KS,34800,34800,27477,Less selective,76.45,,,2236
Bethany College,Lindsborg,KS,31946,31946,29203,Less selective,78.6,,,583
Bethel College-North Newton,North Newton,KS,34002,34002,24392,Less selective,95.7,,,499
Butler Community College,El Dorado,KS,3556,6256,16051,Unknown,,,,5694
Central Christian College of Kansas,McPherson,KS,21000,21000,12473,Unknown,,,,394
Cloud County Community College,Concordia,KS,3180,4140,11477,Unknown,,,,807
Coffeyville Community College,Coffeyville,KS,3040,4608,5481,Unknown,,,,870
Colby Community College,Colby,KS,4046,5736,8021,Unknown,,,,837
Cowley County Community College,Arkansas City,KS,4350,6150,6752,Unknown,,,,1548
Dodge City Community College,Dodge City,KS,4650,5850,6147,Unknown,,,,1200
Donnelly College,Kansas City,KS,10350,10350,15025,Unknown,,,,343
Emporia State University,Emporia,KS,7356,15669,15702,Less selective,97.74,,,2328
Flint Hills Technical College,Emporia,KS,6196,6196,15533,Unknown,,,,341
Fort Hays State University,Hays,KS,5633,16811,13493,Less selective,91.77,,,9792
Barclay College,Haviland,KS,26590,26590,28827,Somewhat selective,54.49,,,161
Friends University,Wichita,KS,32748,32748,25752,Somewhat selective,55.64,,,1015
Fort Scott Community College,Fort Scott,KS,3240,3690,665,Unknown,,,,763
Garden City Community College,Garden City,KS,3570,4200,8681,Unknown,,,,1321
Haskell Indian Nations University,Lawrence,KS,600,600,3031,Less selective,88.32,,,878
Hesston College,Hesston,KS,31368,31368,21458,Unknown,,,,308
Highland Community College,Highland,KS,4116,4116,10388,Unknown,,,,1262
Hutchinson Community College,Hutchinson,KS,3420,4650,5300,Unknown,,,,2911
Independence Community College,Independence,KS,4260,4650,6262,Unknown,,,,518
Johnson County Community College,Overland Park,KS,2328,5472,13912,Unknown,,,,10634
Concorde Career College-Kansas City,Kansas City,MO,,,28094,Less selective,98.83,,,240
Kansas City Kansas Community College,Kansas City,KS,3150,6720,15255,Unknown,,,,3071
Kansas Christian College,Overland Park,KS,10950,10950,15686,Unknown,,,,143
University of Kansas,Lawrence,KS,11700,29412,17365,Less selective,88.2,,,19857
Newman University,Wichita,KS,35500,35500,19045,Selective,47.61,,,857
Kansas State University,Manhattan,KS,10942,27816,17883,Less selective,79.36,,,14835
Kansas Wesleyan University,Salina,KS,33470,33470,23369,Less selective,84.98,,,894
Labette Community College,Parsons,KS,3968,4768,7795,Unknown,,,,766
Manhattan Area Technical College,Manhattan,KS,9276,9276,11752,Unknown,,,,328
Manhattan Christian College,Manhattan,KS,18424,18424,23608,Less selective,100.0,,,132
McPherson College,McPherson,KS,35162,35162,24837,Less selective,83.79,,,786
MidAmerica Nazarene University,Olathe,KS,36120,36120,29520,Somewhat selective,73.46,,,977
Neosho County Community College,Chanute,KS,5644,5644,10179,Unknown,,,,848
North Central Kansas Technical College,Beloit,KS,7208,7208,17460,Unknown,,,,472
Northwest Kansas Technical College,Goodland,KS,,,12222,Unknown,,,,314
Ottawa University-Ottawa,Ottawa,KS,35300,35300,28083,Less selective,80.03,,,935
Pittsburg State University,Pittsburg,KS,8008,19692,18889,Less selective,88.17,,,4162
Pratt Community College,Pratt,KS,4064,4712,8244,Unknown,,,,600
University of Saint Mary,Leavenworth,KS,33890,33890,23335,Less selective,89.84,,,889
Salina Area Technical College,Salina,KS,7020,7020,7018,Unknown,,,,352
Seward County Community College,Liberal,KS,3744,5056,6742,Unknown,,,,1140
Southwestern College,Winfield,KS,38480,38480,27310,Somewhat selective,64.97,,,1026
Sterling College,Sterling,KS,32200,32200,22403,Somewhat selective,53.03,,,569
Tabor College,Hillsboro,KS,35050,35050,19868,Somewhat selective,64.62,,,530
Washburn University,Topeka,KS,9578,20582,13046,Unknown,,,,4093
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,6018,6928,10741,Unknown,,,,2778
Wichita State University,Wichita,KS,9322,19240,13776,Less selective,94.94,,,10493
Wichita Technical Institute,Wichita,KS,,,18524,Unknown,,,,866
Alice Lloyd College,Pippa Passes,KY,14080,14080,17839,Less selective,85.57,,,528
Asbury University,Wilmore,KY,33640,33640,20428,Somewhat selective,64.06,,,1369
Ashland Community and Technical College,Ashland,KY,4656,6192,4907,Unknown,,,,1566
Bellarmine University,Louisville,KY,47180,47180,23587,Less selective,93.59,,,2286
Berea College,Berea,KY,49326,49326,4483,Selective,32.71,,,1472
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,,,20272,Unknown,,,,285
Southcentral Kentucky Community and Technical College,Bowling Green,KY,4656,6192,3794,Unknown,,,,2952
Brescia University,Owensboro,KY,30450,30450,14626,Selective,34.61,,,538
Campbellsville University,Campbellsville,KY,26990,26990,18246,Less selective,98.33,,,2641
Bluegrass Community and Technical College,Lexington,KY,4706,6242,5920,Unknown,,,,7713
Centre College,Danville,KY,50550,50550,21497,Somewhat selective,54.34,,,1346
Clear Creek Baptist Bible College,Pineville,KY,10120,10120,10255,Unknown,,,,132
Paul Mitchell the School-Lexington,Lexington,KY,,,22869,Unknown,,,,204
Galen College of Nursing-Louisville,Louisville,KY,,,,Unknown,,,,4184
University of the Cumberlands,Williamsburg,KY,9875,9875,11286,Somewhat selective,71.39,,,5468
Eastern Kentucky University,Richmond,KY,10130,20820,9962,Less selective,78.09,,,11674
Elizabethtown Community and Technical College,Elizabethtown,KY,4656,6192,5594,Unknown,,,,3775
Georgetown College,Georgetown,KY,42010,42010,13485,Somewhat selective,73.88,,,1180
Hazard Community and Technical College,Hazard,KY,4656,6192,3376,Unknown,,,,1404
Paul Mitchell the School-Louisville,Louisville,KY,,,26643,Unknown,,,,219
Henderson Community College,Henderson,KY,4656,6192,5063,Unknown,,,,876
Hopkinsville Community College,Hopkinsville,KY,4656,6192,3939,Unknown,,,,1498
Jefferson Community and Technical College,Louisville,KY,4706,6242,6058,Unknown,,,,7105
Summit Salon Academy-Lexington,Lexington,KY,,,13809,Unknown,,,,123
American National University-Pikeville,Pikeville,KY,11484,11484,16238,Unknown,,,,229
Kentucky State University,Frankfort,KY,9214,13260,8900,Less selective,92.55,,,1317
Kentucky Wesleyan College,Owensboro,KY,33393,33393,36431,Somewhat selective,67.0,,,794
University of Kentucky,Lexington,KY,13212,33406,17218,Less selective,92.38,,,23189
Kentucky Christian University,Grayson,KY,25000,25000,22139,Somewhat selective,62.38,,,438
Lindsey Wilson College,Columbia,KY,27274,27274,13811,Unknown,,,,1649
University of Louisville,Louisville,KY,12828,29174,17634,Less selective,80.54,,,14187
Madisonville Community College,Madisonville,KY,4656,6192,5782,Unknown,,,,1797
Maysville Community and Technical College,Maysville,KY,4656,6192,5577,Unknown,,,,2207
Midway University,Midway,KY,26080,26080,23863,Less selective,95.18,,,1250
Morehead State University,Morehead,KY,9838,14706,10089,Less selective,82.12,,,4689
Murray State University,Murray,KY,9708,19452,9121,Less selective,86.17,,,6646
Gateway Community and Technical College,Florence,KY,4656,6192,5897,Unknown,,,,2824
Northern Kentucky University,Highland Heights,KY,10896,21480,7168,Less selective,96.03,,,8065
West Kentucky Community and Technical College,Paducah,KY,4656,6192,5023,Unknown,,,,2810
University of Pikeville,Pikeville,KY,24150,24150,13591,Unknown,,,,1140
Big Sandy Community and Technical College,Prestonsburg,KY,4656,6192,4530,Unknown,,,,1590
Somerset Community College,Somerset,KY,4656,6192,3913,Unknown,,,,3899
Southeast Kentucky Community & Technical College,Cumberland,KY,4656,6192,3537,Unknown,,,,1680
The Southern Baptist Theological Seminary,Louisville,KY,13086,13086,,Less selective,96.89,,,844
Spalding University,Louisville,KY,27850,27850,24264,Less selective,98.64,,,597
Sullivan University,Louisville,KY,14220,14220,25785,Unknown,,,,2498
Thomas More University,Crestview Hills,KY,38400,38400,20701,Less selective,97.03,,,1305
Transylvania University,Lexington,KY,44980,44980,23560,Less selective,84.99,,,1014
Union College,Barbourville,KY,30946,30946,23906,Somewhat selective,55.04,,,736
Western Kentucky University,Bowling Green,KY,11436,27000,10916,Less selective,97.05,,,12267
Central Louisiana Technical Community College,Alexandria,LA,4099,4099,5497,Unknown,,,,1100
Ayers Career College,Shreveport,LA,,,17824,Unknown,,,,213
